frame,smile_vertical_asymmetry_norm,mouth_horizontal_asymmetry_norm,eye_horizontal_asymmetry_norm,general_symmetry_score_norm,facial_droop_flag,severity_score
aug_0_8884.jpg,0.2459,0.3296,0.1996,0.2405,1,65.34
aug_0_8890.jpg,0.1618,0.299,0.178,0.1931,1,51.48
aug_0_8906.jpg,0.2268,0.4777,0.1721,0.2511,1,69.42
aug_0_8909.jpg,0.2738,0.2432,0.6783,0.4844,1,65.62
aug_0_8913.jpg,0.3893,0.401,0.3671,0.2494,1,85.56
aug_0_8964.jpg,0.3658,0.3576,0.2938,0.2099,1,77.4
aug_0_8965.jpg,0.301,0.3693,0.4579,0.3,1,77.8
aug_0_8972.jpg,0.2058,0.3256,0.0432,0.2015,1,58.43
aug_0_90.jpg,0.211,0.2918,0.236,0.1689,1,54.24
aug_0_9003.jpg,0.0648,0.0228,0.2665,0.2072,1,22.0
aug_0_9008.jpg,0.2299,0.2309,0.2638,0.1947,1,53.28
aug_0_9016.jpg,0.34,0.3549,0.5227,0.2861,1,79.69
aug_0_9033.jpg,0.2971,0.2776,0.4657,0.3052,1,70.53
